School,Top 25 Footbball,Top 25 Basketball, Revenue ,Conference,Sacount,MaleSACount,FemaleSAcount,SABMgradRate,SAHMgradRate,SAWMgradRate,SABWgradRate,SAHWgradRate,SAWWgradWate,SBCount,MaleCount,FemaleCount,SBBMgradRate,SBHMgradRate,SBWMgradRate,SBBWgradRate,SBHWgradRate,SBWWgradWate
ID61,No,Y,54731404,Non-power 5,384,156,228,54,31,59,68,57,74,13346,5510,7836,59,62,72,63,70,77
ID62,No,N,50784275,Non-power 5,255,139,116,44,50,51,55,33,81,11706,5226,6480,27,33,39,31,39,46
ID63,No,N,50599483,Power 5,331,145,186,57,100,82,38,75,94,9153,4308,4845,82,90,93,85,91,94
ID64,No,N,50599483,Non-power 5,289,113,176,66,100,62,67,56,75,8529,3934,4595,32,31,36,36,36,44
ID65,No,N,49772999,Non-power 5,249,122,127,54,17,50,67,85,82,10766,4343,6423,41,49,60,52,56,70
ID66,No,N,49461013,Non-power 5,353,174,179,58,33,65,60,50,79,17367,8415,8952,63,66,77,77,72,79
ID67,No,N,48399854,Non-power 5,216,104,112,30,0,47,33,67,79,7329,3278,4051,24,41,40,33,49,45
ID68,No,N,47046852,Non-power 5,294,159,135,30,38,64,67,67,72,6212,3075,3137,31,43,52,39,51,62
ID69,No,N,46956655,Non-power 5,281,136,145,52,67,56,67,,83,10661,5346,5315,43,47,49,57,56,58
ID70,No,N,45977952,Non-power 5,331,184,147,51,20,60,78,75,73,12559,6768,5791,56,67,70,67,74,77
ID71,No,N,43653404,Non-power 5,211,99,112,38,0,46,50,67,68,9913,4628,5285,38,44,53,46,53,62
ID72,No,N,41558060,Non-power 5,214,95,119,56,50,70,43,75,76,9153,3189,5964,36,32,44,41,42,52
ID73,No,N,40866430,Non-power 5,210,101,109,65,83,63,70,100,75,12298,6013,6285,47,51,52,60,60,57
ID74,No,N,40832286,Non-power 5,329,168,161,39,40,50,77,80,73,13224,5929,7295,33,40,47,46,49,57
